year,week,student.id,student.entry,location.name,field.lab,hours,wood.found,deer.found,wood.bite,deer.bite
2006,1,06HF05,Simes,Simes Tract,F,10,0,1,0,0
2006,1,06HF17,Barre Wood,Barre Woods,F,8,0,0,0,0
2006,1,06HF17,Barre Wood,Barre Woods,F,8,0,0,0,0
2006,1,06HF17,Barre Wood,Barre Woods,F,8,0,0,0,0
2006,1,06HF17,Barre Wood,Barre Woods,F,8,0,0,0,0
2006,1,06HF17,Barre Wood,Barre Woods,F,8,0,0,0,0
2006,2,06HF01,PH/ Benson House,NA,L,5,0,0,0,0
2006,2,06HF01,Cambridge,Cambridge,NA,NA,NA,NA,NA,NA
2006,2,06HF01,Behind Benson,Outside,NA,NA,NA,NA,NA,NA
2006,2,06HF01,PH & plant ID,NA,NA,5,1,0,0,0
2006,2,06HF02,Cambridge,Cambridge,NA,NA,NA,NA,NA,NA
2006,2,06HF03,Cambridge,Cambridge,NA,NA,NA,NA,NA,NA
2006,2,06HF04,Cambridge,Cambridge,NA,NA,NA,NA,NA,NA
2006,2,06HF05,Cambridge,Cambridge,NA,NA,NA,NA,NA,NA
2006,2,06HF06,Prescott Peninsula,Quabbin,F,8,0,0,0,0
2006,2,06HF06,Cambridge,Cambridge,NA,NA,NA,NA,NA,NA
2006,2,06HF10,Cambridge,Cambridge,NA,NA,NA,NA,NA,NA
2006,2,06HF10,Bradys,NA,NA,8,1,0,0,0
2006,2,06HF11,Cambridge,Cambridge,NA,NA,NA,NA,NA,NA
2006,2,06HF12,Cambridge,Cambridge,NA,NA,NA,NA,NA,NA
2006,2,06HF13,Cambridge,Cambridge,NA,NA,NA,NA,NA,NA
2006,2,06HF14,Cambridge,Cambridge,NA,NA,NA,NA,NA,NA
2006,2,06HF14,NA,NA,NA,NA,0,0,0,0
2006,2,06HF14,NA,NA,NA,NA,0,0,0,0
2006,2,06HF14,NA,NA,NA,NA,0,0,0,2
2006,2,06HF14,NA,NA,NA,NA,2,0,2,0
2006,2,06HF15,Benson,Benson House,NA,4,0,0,0,0
2006,2,06HF15,Benson,Benson House,NA,6,0,2,0,0
2006,2,06HF15,Benson,Benson House,NA,8,0,2,0,0
2006,2,06HF15,Benson,Benson House,NA,8,0,0,0,0
2006,2,06HF15,Cambridge,Cambridge,NA,NA,NA,NA,NA,NA
2006,2,06HF17,Barre Wood,Barre Woods,NA,0,0,0,0,0
2006,2,06HF17,Barre Wood,Barre Woods,NA,0,0,0,0,0
2006,2,06HF17,Barre Wood,Barre Woods,NA,0,0,0,0,0
2006,2,06HF17,Barre Wood,Barre Woods,NA,0,0,0,0,0
2006,2,06HF17,Cambridge,Cambridge,NA,NA,NA,NA,NA,NA
2006,3,06HF01,OED lab,Inside,L,8,0,0,0,0
2006,3,06HF01,lab,Inside,L,8,0,0,0,0
2006,3,06HF01,Norfolk CT,CT,NA,4,0,1,0,0
2006,3,06HF01,CT,CT,NA,8,0,0,0,1
2006,3,06HF01,lab/field,NA,NA,8,0,0,0,0
2006,3,06HF02,office,Inside,L,8,0,0,0,0
2006,3,06HF02,office,Inside,L,8,0,0,0,0
2006,3,06HF02,office,Inside,L,8,0,0,0,0
2006,3,06HF02,office,Inside,L,8,0,0,0,0
2006,3,06HF02,office,Inside,L,8,0,0,0,0
