Log,Collected,WOTY,Received,Species,Stage,Bloodfed?,Host,Infected?,County,Count,Event Count
LDS-00-001,3/14/2000 0:00,11,3/16/2000 0:00,Ixodes scapularis,F,N,Human,N,Iowa,1,1
LDS-00-003,4/1/2000 0:00,13,4/10/2000 0:00,Ixodes scapularis,F,N,,N,Allamakee,1,1
LDS-00-017,4/23/2000 0:00,16,4/25/2000 0:00,Ixodes scapularis,F,N,,N,Polk,1,1
LDS-00-020,4/23/2000 0:00,16,4/28/2000 0:00,Ixodes scapularis,M,N,,N,Boone,1,1
LDS-00-021,4/23/2000 0:00,16,4/28/2000 0:00,Ixodes scapularis,F,N,,N,Boone,1,1
LDS-00-070,5/16/2000 0:00,20,5/18/2000 0:00,Ixodes scapularis,F,N,Human,N,Winneshiek,1,1
LDS-00-072,5/17/2000 0:00,20,5/22/2000 0:00,Ixodes scapularis,N,N,Human,N,Winneshiek,1,1
LDS-00-076,5/18/2000 0:00,20,5/23/2000 0:00,Ixodes scapularis,M,N,Human,Y,OOS - Minnesota,0,0
LDS-00-084,5/23/2000 0:00,21,5/26/2000 0:00,Ixodes scapularis,N,Y,Dog,N,Johnson,1,1
LDS-00-093,5/28/2000 0:00,21,5/31/2000 0:00,Ixodes scapularis,F,N,Human,N,OOS - Maryland,0,0
LDS-00-094,5/27/2000 0:00,21,5/31/2000 0:00,Ixodes scapularis,F,Y,Dog,N,Johnson,1,1
LDS-00-095,5/29/2000 0:00,22,6/1/2000 0:00,Ixodes scapularis,F,N,Human,Y,Winneshiek,1,1
LDS-00-100,5/31/2000 0:00,22,6/2/2000 0:00,Ixodes scapularis,F,N,Human,N,Winneshiek,1,1
LDS-00-108,6/2/2000 0:00,22,6/8/2000 0:00,Ixodes scapularis,F,N,,N,Allamakee,1,1
LDS-00-109,5/20/2000 0:00,20,6/8/2000 0:00,Ixodes scapularis,N,N,,Y,OOS - Illinois,0,0
LDS-00-116,6/7/2000 0:00,23,6/12/2000 0:00,Ixodes scapularis,F,N,Human,N,Muscatine,1,1
LDS-00-118,6/9/2000 0:00,23,6/12/2000 0:00,Ixodes scapularis,N,N,Human,N,OOS - Minnesota,0,0
LDS-00-123,6/13/2000 0:00,24,6/15/2000 0:00,Ixodes scapularis,F,N,Human,N,OOS - Minnesota,0,0
LDS-00-125,6/12/2000 0:00,24,6/15/2000 0:00,Ixodes scapularis,N,Y,Cat,N,Muscatine,1,1
