"","counties.with.10.years.data","start.year","end.year","stability.time","absolute.range.min.value","absolute.range.max.value","relative.range.min.value","relative.range.max.value","proportion.significant","proportion.wrong","proportion.wrong.before.stability","num.phases"
"1","Albany",2008,2018,6,-1.30662211179847,0.835734913323815,-1.18594297064875,0.956414054473538,0.0444444444444444,0.0444444444444444,0.0833333333333333,1
"2","Cattaraugus",2009,2018,7,-1.39699029322092,1.38151117639904,-1.4113905625072,1.36711090711275,0.0277777777777778,0.0277777777777778,0.0384615384615385,1
"3","Chemung",2009,2018,7,-1.32795382764617,1.22930582902138,-1.33786461725163,1.21939503941592,0.0277777777777778,0.0277777777777778,0.0384615384615385,1
"4","Columbia",2008,2018,7,-1.25478589767822,0.347694863267459,-1.05257992239473,0.549900838550955,0.133333333333333,0.866666666666667,1,1
"5","Dutchess",2008,2018,7,-1.53017568857995,1.42761256134596,-1.55189140056334,1.40589684936257,0,0,0,1
"6","Onondaga",2009,2018,6,-1.61008724026948,1.45822003720432,-1.58483412371381,1.48347315375999,0.0277777777777778,0.0277777777777778,0.0476190476190476,1
"7","Orange",2008,2018,6,-1.12052732770883,1.06521292883374,-1.08074676542149,1.10499349112107,0,0,0,1
"8","Oswego",2008,2018,7,-1.22872277846749,0.970204372107235,-1.17386710806968,1.02506004250505,0,0,0,1
"9","Rockland",2008,2018,7,-1.08555328919586,0.671069306048782,-1.04439473982038,0.712227855424262,0,0,0,1
"10","Saratoga",2008,2018,6,-1.4080658641422,0.638248542792364,-1.26962598883168,0.776688418102887,0.0666666666666667,0.0666666666666667,0.0833333333333333,1
"11","Schuyler",2009,2018,6,-0.895566458658093,1.08566311261895,-1.03893901922084,0.942290552056197,0.0833333333333333,0.0833333333333333,0.0952380952380952,1
"12","Sullivan",2008,2018,5,-0.395960889724092,1.24444851056223,-0.459371375243721,1.1810380250426,0,0,0,1
"13","Ulster",2008,2018,7,-1.58764478737495,0.251643986471629,-1.41465514444353,0.424633629403046,0.0444444444444444,0.0444444444444444,0.0666666666666667,1
"14","Westchester",2008,2018,6,-0.566379858461456,1.19481676931633,-0.691749406817281,1.0694472209605,0.0444444444444444,0.0444444444444444,0.0833333333333333,1
