Year,County,Total Sites Visited,Total Ticks Collected,Tick Population Density,Total Tested,B. burgdorferi (%),A. phagocytophilum (%),B. microti (%),B. miyamotoi (%),County Centroid
2008,Albany,1,149,110,50,40,0,0,,"(42.5882713, -73.9740136)"
2009,Albany,1,252,44.5,50,20,2,0,,"(42.5882713, -73.9740136)"
2010,Albany,1,153,37.3,47,36.2,6.4,0,,"(42.5882713, -73.9740136)"
2011,Albany,1,188,37.8,50,18,12,2,,"(42.5882713, -73.9740136)"
2012,Albany,3,220,66.6,139,28.1,12.2,7.9,,"(42.5882713, -73.9740136)"
2013,Albany,1,83,84.3,59,25.4,15.3,8.5,,"(42.5882713, -73.9740136)"
2014,Albany,4,321,22,118,35.6,15.3,7.6,,"(42.5882713, -73.9740136)"
2015,Albany,2,289,20.7,73,17.8,6.8,4.1,0,"(42.5882713, -73.9740136)"
2016,Albany,2,144,24,75,32,12,10.7,1.3,"(42.5882713, -73.9740136)"
2017,Albany,3,482,50.1,106,21.7,6.6,4.7,1.9,"(42.5882713, -73.9740136)"
2010,Allegany,2,0,0,0,,,,,"(42.2478938, -78.0261758)"
2012,Allegany,2,1,0.2,1,0,0,0,,"(42.2478938, -78.0261758)"
2014,Allegany,3,4,0,0,,,,,"(42.2478938, -78.0261758)"
2015,Allegany,3,5,0.6,5,0,0,0,0,"(42.2478938, -78.0261758)"
2016,Allegany,3,26,2.5,26,0,0,0,0,"(42.2478938, -78.0261758)"
2017,Allegany,3,16,2,13,23.1,0,0,0,"(42.2478938, -78.0261758)"
2014,Broome,1,0,0,0,,,,,"(42.1619773, -75.830291)"
2015,Broome,2,1,0,1,0,0,0,0,"(42.1619773, -75.830291)"
2016,Broome,1,4,4,4,50,0,0,0,"(42.1619773, -75.830291)"
2017,Broome,1,60,6.7,53,32.1,0,0,0,"(42.1619773, -75.830291)"
2009,Cattaraugus,1,15,2.1,15,0,0,0,,"(42.2448527, -78.6810055)"
2010,Cattaraugus,2,118,7.1,51,21.6,0,0,,"(42.2448527, -78.6810055)"
2011,Cattaraugus,2,64,11.9,64,7.8,15.6,0,,"(42.2448527, -78.6810055)"
2012,Cattaraugus,2,93,8.2,80,15,23.8,0,,"(42.2448527, -78.6810055)"
2013,Cattaraugus,2,163,47.6,74,10.8,21.6,0,,"(42.2448527, -78.6810055)"
2014,Cattaraugus,4,71,7.1,56,14.3,5.4,0,,"(42.2448527, -78.6810055)"
2015,Cattaraugus,7,136,11.5,102,11.8,2.9,0,0,"(42.2448527, -78.6810055)"
2016,Cattaraugus,8,151,5.9,163,12.9,2.5,0,0,"(42.2448527, -78.6810055)"
2017,Cattaraugus,10,180,6,157,21,1.9,0.6,0.6,"(42.2448527, -78.6810055)"
2015,Cayuga,3,46,5.8,45,8.9,0,0,2.2,"(43.0085456, -76.5745866)"
2016,Cayuga,4,6,1.3,6,0,0,0,0,"(43.0085456, -76.5745866)"
2017,Cayuga,1,59,8.6,50,22,0,0,2,"(43.0085456, -76.5745866)"
2010,Chautauqua,1,1,0.4,1,0,0,0,,"(42.3042159, -79.4075949)"
2012,Chautauqua,1,0,0,0,,,,,"(42.3042159, -79.4075949)"
2014,Chautauqua,1,0,0,0,,,,,"(42.3042159, -79.4075949)"
2015,Chautauqua,6,9,1.1,8,0,0,0,0,"(42.3042159, -79.4075949)"
2016,Chautauqua,4,6,1.2,6,0,0,0,0,"(42.3042159, -79.4075949)"
2017,Chautauqua,4,13,0.4,3,0,0,0,0,"(42.3042159, -79.4075949)"
2009,Chemung,1,74,20.6,56,0,0,0,,"(42.1552807, -76.7471788)"
2010,Chemung,1,86,8.4,50,14,2,0,,"(42.1552807, -76.7471788)"
2011,Chemung,1,52,23.8,52,11.5,0,0,,"(42.1552807, -76.7471788)"
2012,Chemung,1,60,21.8,60,21.7,3.3,0,,"(42.1552807, -76.7471788)"
2013,Chemung,1,64,88.6,50,20,2,0,,"(42.1552807, -76.7471788)"
2014,Chemung,1,112,66.7,50,24,2,0,,"(42.1552807, -76.7471788)"
2015,Chemung,1,152,18.6,51,13.7,0,0,0,"(42.1552807, -76.7471788)"
2016,Chemung,1,63,31.3,50,30,0,0,2,"(42.1552807, -76.7471788)"
2017,Chemung,1,63,35.3,50,40,20,0,0,"(42.1552807, -76.7471788)"
2014,Chenango,1,2,2,2,0,0,0,,"(42.489732, -75.6049051)"
2016,Chenango,3,11,3.3,11,0,9.1,0,0,"(42.489732, -75.6049051)"
2017,Chenango,1,0,0,0,,,,,"(42.489732, -75.6049051)"
2008,Clinton,1,39,2,5,0,0,0,,"(44.7527103, -73.7056478)"
2012,Clinton,1,10,4.5,8,0,0,0,,"(44.7527103, -73.7056478)"
2014,Clinton,1,1,0,1,0,0,0,,"(44.7527103, -73.7056478)"
2015,Clinton,3,30,1,25,56,4,0,4,"(44.7527103, -73.7056478)"
2016,Clinton,3,1,0,0,,,,,"(44.7527103, -73.7056478)"
2017,Clinton,2,177,18.3,53,24.5,1.9,1.9,1.9,"(44.7527103, -73.7056478)"
2008,Columbia,1,1094,163.5,50,48,6,0,,"(42.2477286, -73.6268046)"
2009,Columbia,1,314,234.5,49,14.3,4.1,0,,"(42.2477286, -73.6268046)"
2010,Columbia,1,169,61.7,50,18,10,2,,"(42.2477286, -73.6268046)"
2011,Columbia,1,64,55.5,44,25,2.3,0,,"(42.2477286, -73.6268046)"
2012,Columbia,1,93,14.2,45,40,4.4,0,,"(42.2477286, -73.6268046)"
2013,Columbia,2,148,65.8,84,22.6,4.8,0,,"(42.2477286, -73.6268046)"
2014,Columbia,4,137,11.8,85,32.9,7.1,3.5,,"(42.2477286, -73.6268046)"
2015,Columbia,4,292,24.5,71,29.6,5.6,8.5,1.4,"(42.2477286, -73.6268046)"
2016,Columbia,3,220,9.2,63,28.6,14.3,6.3,1.6,"(42.2477286, -73.6268046)"
2017,Columbia,3,344,74.1,114,21.1,9.6,15.8,0,"(42.2477286, -73.6268046)"
2013,Cortland,4,3,3.9,3,0,0,0,,"(42.5938237, -76.0762647)"
2014,Cortland,1,0,0,0,,,,,"(42.5938237, -76.0762647)"
2015,Cortland,1,0,0,0,,,,,"(42.5938237, -76.0762647)"
2016,Cortland,1,0,0,0,,,,,"(42.5938237, -76.0762647)"
2017,Cortland,1,60,9.3,52,26.9,1.9,0,0,"(42.5938237, -76.0762647)"
2017,Wyoming,2,74,24,65,21.5,0,0,0,"(42.7013627, -78.2285667)"
2014,Delaware,2,0,0,0,,,,,"(42.1939865, -74.966728)"
2015,Delaware,2,144,15.5,59,15.3,0,0,0,"(42.1939865, -74.966728)"
2016,Delaware,2,58,11.2,58,20.7,0,0,0,"(42.1939865, -74.966728)"
2017,Delaware,3,102,14.5,61,27.9,4.9,0,0,"(42.1939865, -74.966728)"
2008,Dutchess,1,268,20,50,32,4,8,,"(41.7550085, -73.7399512)"
2009,Dutchess,1,119,32.4,50,2,2,0,,"(41.7550085, -73.7399512)"
2010,Dutchess,1,56,28.1,50,12,0,0,,"(41.7550085, -73.7399512)"
2011,Dutchess,1,53,40.4,50,10,0,0,,"(41.7550085, -73.7399512)"
2012,Dutchess,1,56,20,50,24,0,12,,"(41.7550085, -73.7399512)"
2013,Dutchess,1,191,126.7,50,26,4,10,,"(41.7550085, -73.7399512)"
2014,Dutchess,3,153,33,86,14,2.3,11.6,,"(41.7550085, -73.7399512)"
2015,Dutchess,3,185,34.2,112,34.8,1.8,2.7,1.8,"(41.7550085, -73.7399512)"
2016,Dutchess,1,56,17,51,23.5,5.9,17.6,0,"(41.7550085, -73.7399512)"
2017,Dutchess,1,104,35,50,28,4,12,2,"(41.7550085, -73.7399512)"
2014,Erie,2,88,29,50,14,4,0,,"(42.752759, -78.7781922)"
2015,Erie,1,92,30,57,33.3,0,0,0,"(42.752759, -78.7781922)"
2016,Erie,8,125,11,118,30.5,3.4,0,0,"(42.752759, -78.7781922)"
2017,Erie,8,93,3,35,28.6,0,0,0,"(42.752759, -78.7781922)"
2012,Essex,1,0,0,0,,,,,"(44.1089711, -73.7775726)"
2013,Essex,2,1,0.4,1,0,0,0,,"(44.1089711, -73.7775726)"
2014,Essex,6,80,1.4,78,25.6,0,0,,"(44.1089711, -73.7775726)"
2015,Essex,9,47,1.5,29,41.4,0,0,0,"(44.1089711, -73.7775726)"
2016,Essex,6,10,1.2,7,42.9,0,0,0,"(44.1089711, -73.7775726)"
2017,Essex,1,162,64.5,50,22,0,6,0,"(44.1089711, -73.7775726)"
2013,Franklin,1,6,2.3,2,50,0,0,,"(44.5943743, -74.3106698)"
2014,Franklin,4,1,0,1,0,0,0,,"(44.5943743, -74.3106698)"
2015,Franklin,4,8,0.3,7,71.4,0,0,0,"(44.5943743, -74.3106698)"
2016,Franklin,10,190,0.4,14,35.7,0,0,0,"(44.5943743, -74.3106698)"
2017,Franklin,1,58,18.3,50,14,0,0,0,"(44.5943743, -74.3106698)"
2009,Fulton,1,0,0,0,,,,,"(43.1156093, -74.4236782)"
2013,Fulton,2,7,2.4,6,16.7,0,0,,"(43.1156093, -74.4236782)"
2014,Fulton,4,14,0.6,3,33.3,0,0,,"(43.1156093, -74.4236782)"
2015,Fulton,4,14,1,10,30,0,0,0,"(43.1156093, -74.4236782)"
2016,Fulton,3,26,3.1,12,16.7,0,0,0,"(43.1156093, -74.4236782)"
2017,Fulton,3,30,2.7,10,10,0,10,0,"(43.1156093, -74.4236782)"
2014,Genesee,1,0,0,0,,,,,"(43.0009096, -78.1927784)"
2015,Genesee,1,4,4,4,0,0,0,0,"(43.0009096, -78.1927784)"
2016,Genesee,1,0,0,0,,,,,"(43.0009096, -78.1927784)"
2017,Genesee,1,10,2.9,6,0,0,0,0,"(43.0009096, -78.1927784)"
2009,Greene,1,243,54,50,8,0,0,,"(42.2869511, -74.1494949)"
2013,Greene,3,335,53.4,122,27.9,11.5,3.3,,"(42.2869511, -74.1494949)"
2014,Greene,5,307,15,88,14.8,20.5,1.1,,"(42.2869511, -74.1494949)"
2015,Greene,2,291,30.3,60,26.7,1.7,1.7,0,"(42.2869511, -74.1494949)"
2016,Greene,2,140,11.3,55,21.8,16.4,12.7,5.5,"(42.2869511, -74.1494949)"
2017,Greene,3,392,48.8,112,24.1,4.5,2.7,0,"(42.2869511, -74.1494949)"
2013,Hamilton,3,0,0,0,,,,,"(43.6578786, -74.5024556)"
2014,Hamilton,1,0,0,0,,,,,"(43.6578786, -74.5024556)"
2015,Hamilton,2,1,0,1,0,0,0,0,"(43.6578786, -74.5024556)"
2016,Hamilton,5,1,0,0,,,,,"(43.6578786, -74.5024556)"
2017,Hamilton,4,1,0,0,,,,,"(43.6578786, -74.5024556)"
2008,Herkimer,1,6,15,5,0,0,0,,"(43.4616351, -74.8946938)"
2014,Herkimer,2,27,3,23,17.4,4.3,0,,"(43.4616351, -74.8946938)"
2016,Herkimer,2,0,0,0,,,,,"(43.4616351, -74.8946938)"
2017,Herkimer,4,66,4.2,50,24,0,0,0,"(43.4616351, -74.8946938)"
2008,Jefferson,1,6,2,6,0,0,0,,"(43.9953714, -76.0535218)"
2014,Jefferson,2,0,0,0,,,,,"(43.9953714, -76.0535218)"
2016,Jefferson,4,3,0.3,1,0,0,0,0,"(43.9953714, -76.0535218)"
2017,Jefferson,4,99,12.1,93,64.5,0,6.5,0,"(43.9953714, -76.0535218)"
2014,Lewis,1,0,0,0,,,,,"(43.7863965, -75.4426165)"
2016,Lewis,1,0,0,0,,,,,"(43.7863965, -75.4426165)"
2014,Livingston,1,1,1,1,0,0,0,,"(42.7274845, -77.7697795)"
2015,Livingston,2,10,4,10,40,0,0,0,"(42.7274845, -77.7697795)"
2016,Livingston,1,0,0,0,,,,,"(42.7274845, -77.7697795)"
2017,Livingston,2,25,5.6,24,8.3,4.2,0,0,"(42.7274845, -77.7697795)"
2013,Madison,3,0,0,0,,,,,"(42.9100255, -75.6635749)"
2014,Madison,3,0,0,0,,,,,"(42.9100255, -75.6635749)"
2016,Madison,2,0,0,0,,,,,"(42.9100255, -75.6635749)"
2017,Madison,2,1,0,0,,,,,"(42.9100255, -75.6635749)"
2009,Monroe,3,6,0.7,0,,,,,"(43.174966, -77.639663)"
2011,Monroe,1,66,14.9,66,7.6,6.1,0,,"(43.174966, -77.639663)"
2012,Monroe,1,79,37.6,88,17,2.3,0,,"(43.174966, -77.639663)"
2013,Monroe,1,75,123.3,50,10,10,0,,"(43.174966, -77.639663)"
2014,Monroe,2,282,65,96,19.8,15.6,0,,"(43.174966, -77.639663)"
2015,Monroe,2,498,246,100,12,12,0,0,"(43.174966, -77.639663)"
2016,Monroe,2,134,63.5,127,15.7,17.3,0,0,"(43.174966, -77.639663)"
2017,Monroe,12,1768,18.6,305,23.9,3.3,0,0,"(43.174966, -77.639663)"
2013,Montgomery,2,259,21.7,92,34.8,0,1.1,,"(42.9008912, -74.4353575)"
2014,Montgomery,5,79,5.7,52,46.2,1.9,0,,"(42.9008912, -74.4353575)"
2015,Montgomery,3,222,10.8,59,15.3,0,1.7,0,"(42.9008912, -74.4353575)"
2016,Montgomery,2,120,11,66,19.7,3,0,4.5,"(42.9008912, -74.4353575)"
2017,Montgomery,2,387,31.9,68,27.9,1.5,1.5,0,"(42.9008912, -74.4353575)"
2015,Nassau,4,10,1.7,5,0,0,0,0,40 6546
2014,Niagara,1,2,1,1,0,0,0,,"(43.203001, -78.71083)"
2015,Niagara,1,0,0,0,,,,,"(43.203001, -78.71083)"
2016,Niagara,2,2,1,2,0,0,0,0,"(43.203001, -78.71083)"
2017,Niagara,1,12,9,9,0,0,0,0,"(43.203001, -78.71083)"
2016,Oneida,2,2,0,0,,,,,"(43.2427273, -75.4342824)"
2017,Oneida,1,8,8,8,12.5,0,0,0,"(43.2427273, -75.4342824)"
2008,Onondaga,1,297,,53,32.1,1.9,0,,"(43.0065299, -76.1961167)"
2009,Onondaga,1,11,12.9,0,,,,,"(43.0065299, -76.1961167)"
2010,Onondaga,1,92,24.9,54,35.2,1.9,0,,"(43.0065299, -76.1961167)"
2011,Onondaga,1,32,19.3,31,16.1,3.2,0,,"(43.0065299, -76.1961167)"
2012,Onondaga,1,1,4,1,0,0,0,,"(43.0065299, -76.1961167)"
2013,Onondaga,1,53,118.2,48,27.1,2.1,0,,"(43.0065299, -76.1961167)"
2014,Onondaga,2,39,1.6,26,26.9,7.7,0,,"(43.0065299, -76.1961167)"
2015,Onondaga,9,307,9,266,16.2,1.1,0,0,"(43.0065299, -76.1961167)"
2016,Onondaga,11,325,13.5,265,24.5,0,0,0,"(43.0065299, -76.1961167)"
2017,Onondaga,1,58,20.8,50,30,0,0,2,"(43.0065299, -76.1961167)"
2014,Ontario,3,0,0,0,,,,,"(42.8566949, -77.3032768)"
2017,Ontario,4,791,30.4,146,34.9,2.1,2.1,0,"(42.8566949, -77.3032768)"
2008,Orange,1,232,120,50,14,2,0,,"(41.4024096, -74.3062522)"
2009,Orange,1,258,181.5,50,6,6,0,,"(41.4024096, -74.3062522)"
2010,Orange,1,120,80.6,50,6,2,0,,"(41.4024096, -74.3062522)"
2011,Orange,1,185,376,50,28,0,0,,"(41.4024096, -74.3062522)"
2012,Orange,1,71,94.9,50,56,4,0,,"(41.4024096, -74.3062522)"
2013,Orange,1,198,182.9,50,42,6,0,,"(41.4024096, -74.3062522)"
2014,Orange,1,139,127.6,50,24,2,0,,"(41.4024096, -74.3062522)"
2015,Orange,1,183,172.5,50,44,4,2,0,"(41.4024096, -74.3062522)"
2016,Orange,1,265,259.6,54,57.4,3.7,7.4,1.9,"(41.4024096, -74.3062522)"
2017,Orange,1,138,122.2,50,42,2,8,2,"(41.4024096, -74.3062522)"
2014,Orleans,1,0,0,0,,,,,"(43.209007, -78.254897)"
2015,Orleans,1,12,2,2,0,0,0,0,"(43.209007, -78.254897)"
2017,Orleans,2,12,6,12,16.7,0,0,0,"(43.209007, -78.254897)"
2008,Oswego,1,59,10.8,49,14.3,2,0,,"(43.4614428, -76.209258)"
2009,Oswego,1,12,6.7,5,20,0,0,,"(43.4614428, -76.209258)"
2010,Oswego,1,52,36.4,21,28.6,0,0,,"(43.4614428, -76.209258)"
2011,Oswego,1,71,24.8,58,8.6,0,0,,"(43.4614428, -76.209258)"
2012,Oswego,1,7,3.9,7,0,0,0,,"(43.4614428, -76.209258)"
2013,Oswego,1,41,56.7,38,28.9,0,0,,"(43.4614428, -76.209258)"
2014,Oswego,2,43,8.5,33,33.3,0,0,,"(43.4614428, -76.209258)"
2015,Oswego,1,32,16.3,24,16.7,0,0,0,"(43.4614428, -76.209258)"
2016,Oswego,5,10,3,10,20,0,0,0,"(43.4614428, -76.209258)"
2017,Oswego,2,68,14.8,55,29.1,0,0,0,"(43.4614428, -76.209258)"
2009,Otsego,3,5,0.8,4,0,0,0,,"(42.6297762, -75.028841)"
2013,Otsego,1,3,3.3,3,0,0,0,,"(42.6297762, -75.028841)"
2014,Otsego,1,0,0,0,,,,,"(42.6297762, -75.028841)"
2015,Otsego,2,99,11.9,50,42,0,4,0,"(42.6297762, -75.028841)"
2016,Otsego,2,101,20,59,25.4,0,1.7,0,"(42.6297762, -75.028841)"
2017,Otsego,4,264,20.8,111,25.2,0,1.8,0,"(42.6297762, -75.028841)"
2014,Rensselaer,4,58,4.1,20,15,0,0,,"(42.7104206, -73.5138454)"
2015,Rensselaer,2,333,20,51,31.4,9.8,0,0,"(42.7104206, -73.5138454)"
2016,Rensselaer,4,152,8.7,67,23.9,4.5,0,1.5,"(42.7104206, -73.5138454)"
2017,Rensselaer,9,288,9.1,116,35.3,11.2,3.4,1.7,"(42.7104206, -73.5138454)"
2008,Rockland,1,90,50,50,10,2,0,,"(41.1547851, -74.0247721)"
2009,Rockland,1,161,76.1,50,2,10,0,,"(41.1547851, -74.0247721)"
2010,Rockland,1,56,27.5,50,8,4,2,,"(41.1547851, -74.0247721)"
2011,Rockland,1,63,75.9,50,20,10,4,,"(41.1547851, -74.0247721)"
2012,Rockland,1,22,9.1,22,18.2,0,9.1,,"(41.1547851, -74.0247721)"
2013,Rockland,1,132,120.1,50,16,0,2,,"(41.1547851, -74.0247721)"
2014,Rockland,1,113,53,50,12,0,0,,"(41.1547851, -74.0247721)"
2015,Rockland,1,132,48.6,50,14,0,0,20,"(41.1547851, -74.0247721)"
2016,Rockland,1,62,26.1,60,45,3.3,25,0,"(41.1547851, -74.0247721)"
