Year,County,Total Sites Visited,Total Ticks Collected,Tick Population Density,Total Ticks Tested,Pools Tested,Pools Positive,Minimum Infection Rate,County Location
2009,Albany,1,210,361.6,160,17,0,0,"(42.5882713, -73.9740136)"
2009,Allegany,2,146,10.5,19,2,0,0,"(42.2478938, -78.0261758)"
2009,Broome,1,67,32,0,,,,"(42.1619773, -75.830291)"
2009,Cattaraugus,2,170,8.8,109,12,0,0,"(42.2448527, -78.6810055)"
2009,Cayuga,1,0,0,0,,,,"(43.0085456, -76.5745866)"
2009,Chautauqua,3,1,0.1,0,,,,"(42.3042159, -79.4075949)"
2009,Chemung,1,70,35.2,0,,,,"(42.1552807, -76.7471788)"
2009,Columbia,1,144,255.7,50,5,0,0,"(42.2477286, -73.6268046)"
2009,Dutchess,1,116,36.4,50,5,0,0,"(41.7550085, -73.7399512)"
2009,Erie,1,12,10,0,,,,"(42.752759, -78.7781922)"
2009,Greene,1,90,58.1,40,5,0,0,"(42.2869511, -74.1494949)"
2009,Livingston,2,0,0,0,,,,"(42.7274845, -77.7697795)"
2009,Monroe,1,53,7.2,0,,,,"(43.174966, -77.639663)"
2009,Onondaga,1,59,53.6,0,,,,"(43.0065299, -76.1961167)"
2009,Ontario,3,0,0,0,,,,"(42.8566949, -77.3032768)"
2009,Orange,1,112,67.6,50,5,0,0,"(41.4024096, -74.3062522)"
2009,Oswego,1,67,26.8,0,,,,"(43.4614428, -76.209258)"
2009,Rensselaer,2,37,19,0,,,,"(42.7104206, -73.5138454)"
2009,Rockland,1,88,31,0,,,,"(41.1547851, -74.0247721)"
2009,Saratoga,1,150,235.2,99,11,0,0,"(43.1061353, -73.8553872)"
2009,Schuyler,2,62,13.5,0,,,,"(42.419776, -76.9386038)"
2009,Seneca,1,85,29.7,0,,,,"(42.7822943, -76.827088)"
2009,Steuben,1,14,5.4,0,,,,"(42.2667252, -77.3855253)"
2009,Sullivan,1,109,68.5,50,5,0,0,"(41.7201763, -74.7646796)"
2009,Ulster,1,113,27.1,49,5,0,0,"(41.9472321, -74.265447)"
2009,Warren,1,69,25.1,0,,,,"(43.5551053, -73.8381388)"
2009,Westchester,1,130,35.7,50,5,1,2,"(41.1527698, -73.745912)"
2009,Wyoming,1,0,0,0,,,,"(42.7013627, -78.2285667)"
2009,Yates,1,1,0.8,0,,,,"(42.638237, -77.1043238)"
2010,Albany,1,215,221.7,165,17,0,0,"(42.5882713, -73.9740136)"
2010,Allegany,2,0,0,0,,,,"(42.2478938, -78.0261758)"
2010,Cattaraugus,2,45,6.8,0,,,,"(42.2448527, -78.6810055)"
2010,Chautauqua,1,0,0,0,,,,"(42.3042159, -79.4075949)"
2010,Chemung,1,60,93.4,0,,,,"(42.1552807, -76.7471788)"
2010,Columbia,1,98,175,47,6,0,0,"(42.2477286, -73.6268046)"
2010,Dutchess,1,103,59.8,50,5,0,0,"(41.7550085, -73.7399512)"
2010,Erie,1,6,1.9,0,,,,"(42.752759, -78.7781922)"
2010,Lewis,1,2,0.4,0,,,,"(43.7863965, -75.4426165)"
2010,Monroe,3,75,10.5,0,,,,"(43.174966, -77.639663)"
2010,Onondaga,1,64,40.6,0,,,,"(43.0065299, -76.1961167)"
2010,Orange,1,97,73.9,47,6,0,0,"(41.4024096, -74.3062522)"
2010,Oswego,1,59,67.8,0,,,,"(43.4614428, -76.209258)"
2010,Rockland,1,88,57.1,37,4,0,0,"(41.1547851, -74.0247721)"
2010,Saratoga,1,125,88.7,75,8,0,0,"(43.1061353, -73.8553872)"
2010,Schenectady,1,82,14.3,0,,,,"(42.8175421, -74.0435834)"
2010,Schuyler,1,51,30.4,0,,,,"(42.419776, -76.9386038)"
2010,Seneca,1,60,52.6,0,,,,"(42.7822943, -76.827088)"
2010,Sullivan,1,55,39.5,5,1,0,0,"(41.7201763, -74.7646796)"
2010,Ulster,1,74,35,0,,,,"(41.9472321, -74.265447)"
2010,Washington,1,47,22.1,0,,,,"(43.3123766, -73.4394282)"
2010,Westchester,1,113,38.3,50,5,1,2,"(41.1527698, -73.745912)"
2011,Albany,1,131,426.7,81,9,0,0,"(42.5882713, -73.9740136)"
2011,Allegany,2,12,1,0,,,,"(42.2478938, -78.0261758)"
2011,Cattaraugus,2,155,17.7,0,,,,"(42.2448527, -78.6810055)"
2011,Chemung,1,91,101.1,0,,,,"(42.1552807, -76.7471788)"
2011,Columbia,1,93,110.1,43,6,0,0,"(42.2477286, -73.6268046)"
2011,Dutchess,1,115,97.4,50,5,0,0,"(41.7550085, -73.7399512)"
2011,Livingston,1,8,5.7,0,,,,"(42.7274845, -77.7697795)"
2011,Monroe,1,68,97.1,0,,,,"(43.174966, -77.639663)"
2011,Onondaga,1,51,72.9,0,,,,"(43.0065299, -76.1961167)"
2011,Orange,1,123,127.1,50,5,0,0,"(41.4024096, -74.3062522)"
2011,Oswego,1,97,84.3,0,,,,"(43.4614428, -76.209258)"
2011,Rockland,1,124,210,50,5,1,2,"(41.1547851, -74.0247721)"
2011,Saratoga,1,160,283.7,110,13,0,0,"(43.1061353, -73.8553872)"
2011,Schoharie,1,62,13.3,10,1,0,0,"(42.591294, -74.4381718)"
2011,Schuyler,1,69,69,0,,,,"(42.419776, -76.9386038)"
2011,Seneca,1,52,19.6,0,,,,"(42.7822943, -76.827088)"
2011,Sullivan,1,122,151.8,50,5,0,0,"(41.7201763, -74.7646796)"
2011,Ulster,1,84,77.6,33,4,0,0,"(41.9472321, -74.265447)"
