ï»¿UniqueID,Database,County where tick found,State,Year,Date tick found,Host,"Host Genus, Family, or Order",Host_taxon_1,Host_taxon_2,Host_taxon_3,Genus,Species(2016),Tick_Taxon,Lifestage_not_specified,Adult_Female,Adult_Male,Adults,Nymph,Larva,Submission,Total#/submission,Comments
TD0001,TRL1900_1993,Centre,PA,1900,3/25/1900,rabbit,Lagomorpha,Other mammal,NA,NA,Haemaphysalis,leporis-palustris,Other,1,0,0,0,0,0,1,1,
TD0002,TRL1900_1993,Elk,PA,1912,3/11/2012,Human,Homo sapiens,Human,NA,NA,Ixodes,scapularis,I. scapularis,0,1,1,2,0,0,1,2,
TD0003,TRL1900_1993,Dauphin,PA,1913,4/8/2013,elk,Cervidae,Other mammal,NA,NA,Dermacentor,albipictus,Dermacentor sp.,1,0,0,0,0,0,1,1,
TD0004,TRL1900_1993,Philadelphia,PA,1913,6/19/2013,not attached to host,Not attached,Not attached,NA,NA,Amblyomma,cajennense,Amblyomma sp.,1,0,0,0,0,0,1,1,
TD0005,TRL1900_1993,Centre,PA,1914,12/28/2014,mink,Mustelidae,Other mammal,NA,NA,Ixodes,cookei,I. cookei,1,0,0,0,0,0,1,1,
TD0006,TRL1900_1993,Philadelphia,PA,1924,5/6/2024,not attached to host,Not attached,Not attached,NA,NA,Rhipicephalus,sanguineus,Rhipicephalus sp.,1,0,0,0,0,0,1,1,
TD0007,TRL1900_1993,Philadelphia,PA,1927,10/25/2027,not attached to host,Not attached,Not attached,NA,NA,Rhipicephalus,sanguineus,Rhipicephalus sp.,1,0,0,0,0,0,1,1,
TD0008,TRL1900_1993,Montgomery,PA,1928,7/23/2028,not attached to host,Not attached,Not attached,NA,NA,Rhipicephalus,sanguineus,Rhipicephalus sp.,1,0,0,0,0,0,1,1,
TD0009,TRL1900_1993,Elk,PA,1930,4/22/1930,elk,Cervidae,Other mammal,NA,NA,Dermacentor,albipictus,Dermacentor sp.,1,0,0,0,0,0,1,1,
TD0010,TRL1900_1993,Crawford,PA,1932,4/6/1932,not attached to host,Not attached,Not attached,NA,NA,Ixodes,cookei,I. cookei,1,0,0,0,0,0,1,1,
TD0011,TRL1900_1993,Crawford,PA,1933,3/1/1933,mouse,Rodentia,Rodentia,NA,NA,Ixodes,muris,Other Ixodes sp.,1,0,0,0,0,0,1,1,
TD0013,TRL1900_1993,Philadelphia,PA,1933,8/3/1933,not attached to host,Not attached,Not attached,NA,NA,Rhipicephalus,sanguineus,Rhipicephalus sp.,1,0,0,0,0,0,1,1,
TD0012,TRL1900_1993,Crawford,PA,1933,3/3/1933,squirrel,Rodentia,Rodentia,NA,NA,Ixodes,marxi,Other Ixodes sp.,1,0,0,0,0,0,1,1,
TD0014,TRL1900_1993,Allegheny,PA,1934,10/8/1934,squirrel,Rodentia,Rodentia,NA,NA,Ixodes,marxi,Other Ixodes sp.,1,0,0,0,0,0,1,1,
TD0017,TRL1900_1993,Bucks,PA,1935,7/13/1935,cow,Bovidae,Other mammal,NA,NA,Dermacentor,albipictus,Dermacentor sp.,1,0,0,0,0,0,1,1,
TD0015,TRL1900_1993,Fayette,PA,1935,2/21/1935,mink,Mustelidae,Other mammal,NA,NA,Ixodes,cookei,I. cookei,1,0,0,0,0,0,1,1,
