,x,
1,Allamakee,
2,start year for  Allamakee ,1990
3,end year for  Allamakee ,2013
4,stability time for  Allamakee , NA
5,absolute range min for  Allamakee , NA
6,absolute range max for  Allamakee , NA
7,relative range min for  Allamakee , NA
8,relative range max for  Allamakee , NA
9,proportion significant for  Allamakee , NA
10,proportion significantly wrong for  Allamakee , NA
11,number of phases for  Allamakee ,3
12,number of phases for  Allamakee ,3
13,number of phases for  Allamakee ,3
14,number of phases for  Allamakee ,3
15,Clayton,
16,start year for  Clayton ,1997
17,end year for  Clayton ,2012
18,stability time for  Clayton , NA
19,absolute range min for  Clayton , NA
20,absolute range max for  Clayton , NA
21,relative range min for  Clayton , NA
22,relative range max for  Clayton , NA
23,proportion significant for  Clayton , NA
24,proportion significantly wrong for  Clayton , NA
25,number of phases for  Clayton ,1
26,Delaware,
27,start year for  Delaware ,2001
28,end year for  Delaware ,2012
29,stability time for  Delaware ,10
30,absolute range min for  Delaware ,-1.36441E-13
31,absolute range max for  Delaware ,0.656217959
32,relative range min for  Delaware ,-0.144510092
33,relative range max for  Delaware ,0.511707867
34,proportion significant for  Delaware ,0
35,proportion significantly wrong for  Delaware ,0
36,number of phases for  Delaware ,1
37,Dubuque,
38,start year for  Dubuque ,1990
39,end year for  Dubuque ,2013
40,stability time for  Dubuque , NA
41,absolute range min for  Dubuque , NA
42,absolute range max for  Dubuque , NA
43,relative range min for  Dubuque , NA
44,relative range max for  Dubuque , NA
45,proportion significant for  Dubuque , NA
46,proportion significantly wrong for  Dubuque , NA
47,number of phases for  Dubuque ,1
48,Fayette,
49,start year for  Fayette ,1997
50,end year for  Fayette ,2013
51,stability time for  Fayette , NA
52,absolute range min for  Fayette , NA
53,absolute range max for  Fayette , NA
54,relative range min for  Fayette , NA
55,relative range max for  Fayette , NA
56,proportion significant for  Fayette , NA
57,proportion significantly wrong for  Fayette , NA
58,number of phases for  Fayette ,1
59,Iowa,
60,start year for  Iowa ,2000
61,end year for  Iowa ,2013
62,stability time for  Iowa ,7
63,absolute range min for  Iowa ,-1.483304899
64,absolute range max for  Iowa ,1.779965879
65,relative range min for  Iowa ,-1.506776977
66,relative range max for  Iowa ,1.756493801
67,proportion significant for  Iowa ,0
68,proportion significantly wrong for  Iowa ,0
69,number of phases for  Iowa ,1
70,Jackson,
71,start year for  Jackson ,1990
72,end year for  Jackson ,2013
73,stability time for  Jackson , NA
74,absolute range min for  Jackson , NA
75,absolute range max for  Jackson , NA
76,relative range min for  Jackson , NA
77,relative range max for  Jackson , NA
78,proportion significant for  Jackson , NA
79,proportion significantly wrong for  Jackson , NA
80,number of phases for  Jackson ,1
81,Johnson,
82,start year for  Johnson ,1992
83,end year for  Johnson ,2013
84,stability time for  Johnson , NA
85,absolute range min for  Johnson , NA
86,absolute range max for  Johnson , NA
87,relative range min for  Johnson , NA
88,relative range max for  Johnson , NA
89,proportion significant for  Johnson , NA
90,proportion significantly wrong for  Johnson , NA
91,number of phases for  Johnson ,1
92,Linn,
93,start year for  Linn ,1990
94,end year for  Linn ,2013
95,stability time for  Linn , NA
96,absolute range min for  Linn , NA
97,absolute range max for  Linn , NA
98,relative range min for  Linn , NA
99,relative range max for  Linn , NA
100,proportion significant for  Linn , NA
101,proportion significantly wrong for  Linn , NA
102,number of phases for  Linn ,1
103,Muscatine,
104,start year for  Muscatine ,1990
105,end year for  Muscatine ,2013
106,stability time for  Muscatine , NA
107,absolute range min for  Muscatine , NA
108,absolute range max for  Muscatine , NA
109,relative range min for  Muscatine , NA
110,relative range max for  Muscatine , NA
111,proportion significant for  Muscatine , NA
112,proportion significantly wrong for  Muscatine , NA
113,number of phases for  Muscatine ,1
114,Polk,
115,start year for  Polk ,1993
116,end year for  Polk ,2012
117,stability time for  Polk , NA
118,absolute range min for  Polk , NA
119,absolute range max for  Polk , NA
120,relative range min for  Polk , NA
121,relative range max for  Polk , NA
122,proportion significant for  Polk , NA
123,proportion significantly wrong for  Polk , NA
124,number of phases for  Polk ,1
125,Winneshiek,
126,start year for  Winneshiek ,2000
127,end year for  Winneshiek ,2012
128,stability time for  Winneshiek , NA
129,absolute range min for  Winneshiek , NA
130,absolute range max for  Winneshiek , NA
131,relative range min for  Winneshiek , NA
132,relative range max for  Winneshiek , NA
133,proportion significant for  Winneshiek , NA
134,proportion significantly wrong for  Winneshiek , NA
135,number of phases for  Winneshiek ,2
