"","towns.with.10.years.data","start.year","end.year","stability.time","absolute.range.min.value","absolute.range.max.value","relative.range.min.value","relative.range.max.value","proportion.significant","proportion.wrong","proportion.wrong.before.stability"
"3","Avon",2019,1998,15,-1.28775333760222,0.723258723858564,-1.18746868607817,0.823543375382612,0.457142857142857,0.585714285714286,0.701149425287356
"6","Berlin",2019,1997,11,-1.67770421844796,1.54865004779831,-1.63936139809538,1.58699286815089,0.0303030303030303,0.0303030303030303,0.032258064516129
"7","Bethany",2019,1996,16,-1.65429972427211,1.59915640012952,-1.61186334004078,1.64159278436085,0.316205533596838,0.316205533596838,0.298076923076923
"8","Bethel",2019,1996,16,-0.709395158628704,1.02468189579698,-0.773137912012736,0.960939142412945,0.0988142292490119,0.924901185770751,0.927884615384615
"11","Branford",2019,1998,15,-1.7744451518401,0.85309863069249,-1.73910731132762,0.888436471204977,0.219047619047619,0.219047619047619,0.224137931034483
"12","Bridgeport",2019,1996,12,-1.42892294740203,1.12272517295853,-1.35410418686413,1.19754393349643,0.185770750988142,0.8300395256917,0.987654320987654
"14","Bristol",2019,1997,14,-1.14105404503625,1.20110952109032,-1.15778887136766,1.18437469475891,0.0735930735930736,0.0735930735930736,0.0795454545454545
"15","Brookfield",2019,1996,15,-1.06019970734887,1.18641395822354,-1.1455863918538,1.10102727371861,0.197628458498024,0.806324110671937,0.838383838383838
"18","Canton",2019,1999,11,-0.61887413788259,1.16898448266687,-0.745275748938883,1.04258287161058,0.150943396226415,0.849056603773585,0.94047619047619
"19","Cheshire",2019,1998,13,-1.55273828354829,1.00791783318049,-1.48705834783199,1.07359776889679,0.252380952380952,0.766666666666667,0.941935483870968
"22","Colchester",2019,1996,11,-1.6201851746018,1.15727512471534,-1.63829904611909,1.13916125319805,0.0513833992094862,0.0513833992094862,0.0878378378378378
"25","Coventry",2019,2007,10,-1.32582521472427,0.265165042944871,-1.44628078978828,0.144709467880863,0,0,0
"27","Danbury",2019,1996,15,-0.498084238203814,1.53256688678119,-0.589072067938603,1.4415790570464,0.308300395256917,0.699604743083004,0.848484848484849
"28","Darien",2019,1996,17,-0.683063001986443,0.983610722860473,-0.571111945799981,1.09556177904693,0.545454545454545,0.462450592885375,0.539170506912442
"30","Derby",2019,1996,21,-1.42608412283195,0.507052132562618,-1.37296445398471,0.560171801409859,0.219512195121951,0.219512195121951,0.225
"31","Durham",2019,1996,15,-0.38683142868275,1.16049428604866,-0.470925217526865,1.07640049720454,0.221343873517787,0.810276679841897,0.868686868686869
"33","East Haddam",2019,1996,20,-1.15520731941631,1.44400914927063,-1.16165695218958,1.43755951649736,0.03125,0.03125,0.032258064516129
"34","East Hampton",2019,1996,16,-0.616033435024451,0.94774374619124,-0.706151503412318,0.857625677803373,0.260869565217391,0.739130434782609,0.8125
"38","Easton",2019,1996,15,-1.75808825072313,1.0946587221484,-1.70192749889116,1.15081947398038,0.296442687747036,0.296442687747036,0.176767676767677
"40","Enfield",2019,1998,13,-0.647325530940837,1.53004216404158,-0.67363481041641,1.503732884566,0.338709677419355,0.338709677419355,0.25
"41","Essex",2019,1996,15,-0.898870258677794,1.49811709779604,-0.955715808633704,1.44127154784013,0.189723320158103,0.189723320158103,0.141414141414141
"42","Fairfield",2019,1996,17,-1.89646320768842,1.42234740576651,-1.86863467148863,1.45017594196629,0.490118577075099,0.490118577075099,0.502304147465438
"45","Glastonbury",2019,1996,13,-1.19286806003282,1.47354289768847,-1.24387766096316,1.42253329675813,0.0632411067193676,0.0632411067193676,0.0857142857142857
"47","Greenwich",2019,1996,17,-0.974473434092026,1.12046855147404,-0.859957892517621,1.23498409304844,0.541501976284585,0.462450592885375,0.539170506912442
"50","Guilford",2019,1996,16,-1.32857873762316,1.61039846984689,-1.25210231463661,1.68687489283344,0.407114624505929,0.703557312252964,0.793269230769231
"51","Haddam",2019,1996,16,-1.07575252126647,0.788885182261975,-1.12894770391229,0.735689999616161,0.438735177865613,0.438735177865613,0.427884615384615
"52","Hamden",2019,1998,15,-0.516220894269208,0.61301231194492,-0.642069776878365,0.487163429335763,0.366666666666667,0.633333333333333,0.764367816091954
"53","Hartford",2019,1998,11,-2.1801223846282,0.681288245196317,-2.10241474740082,0.758995882423701,0.10952380952381,0.904761904761905,0.984848484848485
"57","Killingworth",2019,1996,12,-1.48363468380806,1.05973905986301,-1.53317776846936,1.01019597520171,0.123893805309735,0.123893805309735,0.137254901960784
"62","Madison",2019,1996,18,-0.53490469515994,0.481414225643946,-0.468343945701349,0.547974975102538,0.41501976284585,0.652173913043478,0.684444444444444
"63","Manchester",2019,1996,14,-0.720358542707034,1.95525890163324,-0.713647127712874,1.9619703166274,0.241106719367589,0.241106719367589,0.128342245989305
"64","Mansfield",2019,1998,16,-1.04028113881607,1.0950327777013,-1.08238827160064,1.05292564491673,0.157142857142857,0.157142857142857,0.175824175824176
"66","Meriden",2019,1996,16,-1.17830049591129,1.02119376312321,-1.22597897394876,0.973515285085736,0.130434782608696,0.130434782608696,0.153846153846154
"67","Middlebury",2019,1997,15,-0.886293615454191,0.984770683838456,-0.834178728142187,1.03688557115046,0.206896551724138,0.206896551724138,0.214285714285714
"68","Middlefield",2019,1997,12,-1.20575542870268,1.20575542870238,-1.21605345539607,1.19545740200899,0.168421052631579,0.168421052631579,0.19047619047619
"69","Middletown",2019,1996,15,-1.24858208350532,0.864402980888321,-1.32040687225548,0.79257819213816,0.189723320158103,0.818181818181818,0.833333333333333
"70","Milford",2019,1996,12,-0.399422826174794,0.588623112257902,-0.525428388683958,0.462617549748738,0.517786561264822,0.482213438735178,0.753086419753086
"71","Monroe",2019,1996,23,-1.23391809172335,0.707446372588023,-1.18348915735265,0.757875306958727,0.327102803738318,0.327102803738318,0.330188679245283
"74","New Britain",2019,1996,10,-1.08158890771576,1.27245753848903,-1.04817306627022,1.30587337993457,0.075098814229249,0.075098814229249,0.0827067669172932
"75","New Canaan",2019,1996,17,-1.26437442437341,1.19490330215513,-1.18340935532544,1.2758683712031,0.49802371541502,0.573122529644269,0.668202764976959
"77","New Hartford",2019,2010,6,-1.22023382522936,1.42360612943467,-1.36814095556027,1.27569899910375,0.0277777777777778,0.0277777777777778,0.0476190476190476
"78","New Haven",2019,1996,16,-1.20884400040883,1.25361600042451,-1.25750921781662,1.20495078301672,0.185770750988142,0.185770750988142,0.197115384615385
"80","New Milford",2019,1996,15,-0.96223012383022,1.12260181113538,-0.967343424005168,1.11748851096043,0.371541501976285,0.371541501976285,0.363636363636364
"82","Newtown",2019,1996,15,-1.3126038573223,0.970622775720928,-1.23819454653654,1.04503208650669,0.347826086956522,0.683794466403162,0.808080808080808
"85","North Haven",2019,1996,15,-1.0792527701874,1.61887915528118,-1.07778984443753,1.62034208103105,0.142292490118577,0.142292490118577,0.106060606060606
"87","Norwalk",2019,1996,15,-0.868535779311251,1.1183885377428,-0.769577533580291,1.21734678347376,0.403162055335968,0.608695652173913,0.757575757575758
"88","Norwich",2019,1996,16,-0.712351788030821,1.50385377473165,-0.752271018664446,1.46393454409803,0.154150197628458,0.154150197628458,0.153846153846154
"89","Old Lyme",2019,1996,15,-1.05479039692979,0.452053027255819,-0.964183246684146,0.542660177501467,0.241106719367589,0.770750988142292,0.848484848484849
"90","Old Saybrook",2019,1996,16,-0.775451729676012,1.48628248187872,-0.850580640007675,1.41115357154706,0.1699604743083,0.8300395256917,0.826923076923077
"91","Orange",2019,1996,16,-1.08057595953801,0.850053088170134,-1.13382173145729,0.796807316250854,0.138339920948617,0.138339920948617,0.158653846153846
"98","Redding",2019,1996,13,-0.482841563989199,0.954709456069516,-0.600164430179895,0.837386589878819,0.486166007905138,0.529644268774704,0.742857142857143
"99","Ridgefield",2019,1996,17,-0.993106226099515,0.805596658933989,-1.0867704253504,0.711932459683103,0.272727272727273,0.743083003952569,0.764976958525346
"101","Roxbury",2019,1998,14,-1.24262530436876,1.14703874249436,-1.21896944291084,1.17069460395227,0.193548387096774,0.193548387096774,0.212389380530973
"102","Salem",2019,1996,12,-1.14385803968492,1.42982254960648,-1.21234696592997,1.36133362336143,0.140845070422535,0.971830985915493,0.985074626865672
"107","Shelton",2019,1998,21,-0.29662123193453,0.943794828881991,-0.190439299426988,1.04997676138953,0.205882352941176,0.980392156862745,0.99009900990099
"108","Sherman",2019,1998,9,-0.848349556312921,1.01801946757553,-0.919990472205083,0.946378551683365,0.0188679245283019,0.981132075471698,1
"109","Simsbury",2019,2000,13,-1.03619900855156,1.45067861197159,-1.15044579247188,1.33643182805128,0.327485380116959,0.678362573099415,0.807407407407407
"111","South Windsor",2019,1996,13,-0.554440652654627,1.88509821902524,-0.625505480655771,1.81403339102409,0.126482213438735,0.877470355731225,0.914285714285714
"112","Southbury",2019,1998,15,-1.2067580768347,1.34177995955686,-1.12004406561965,1.42849397077191,0.423809523809524,0.595238095238095,0.706896551724138
"113","Southington",2019,1996,17,-0.903799784601437,0.869038254424717,-0.926470347760344,0.84636769126581,0.292490118577075,0.292490118577075,0.304147465437788
"115","Stamford",2019,1996,15,-0.927866521112684,0.977573656172478,-0.816020321562364,1.0894198557228,0.434782608695652,0.565217391304348,0.712121212121212
"116","Stonington",2019,1997,11,-1.06700515462665,0.71133676975115,-1.13870115315888,0.639640771218917,0.103896103896104,0.891774891774892,0.964285714285714
"117","Stratford",2019,1996,14,-1.83022167571362,1.00144204897554,-1.78457873974831,1.04708498494085,0.134387351778656,0.134387351778656,0.0695187165775401
"120","Torrington",2019,1998,15,-0.873772972200886,0.470067738208991,-0.746931031615196,0.596909678794681,0.566666666666667,0.447619047619048,0.540229885057471
"121","Trumbull",2019,1996,15,-1.051412791569,1.22149427255804,-1.12511924838975,1.14778781573729,0.138339920948617,0.869565217391304,0.909090909090909
"122","Vernon",2019,1997,20,-1.68050953697992,0.280084922829913,-1.65870179908603,0.301892660723808,0.111111111111111,0.111111111111111,0.113636363636364
"124","Wallingford",2019,1996,16,-1.03805769053062,1.107261536566,-1.09841547972497,1.04690374737165,0.1699604743083,0.873517786561265,0.850961538461538
"126","Waterbury",2019,1996,16,-1.25850741991391,0.848124565594125,-1.16750948265168,0.939122502856351,0.470355731225296,0.569169960474308,0.6875
"130","West Haven",2019,1996,13,-0.815101684639313,0.978122021567592,-0.913691869919719,0.879531836287187,0.279620853080569,0.725118483412322,0.845161290322581
"133","Westport",2019,1998,15,-1.0679198900466,0.513852666758533,-0.948605856653358,0.633166700151772,0.428571428571429,0.59047619047619,0.701149425287356
"134","Wethersfield",2019,1996,14,-1.6185830230048,0.971149813803398,-1.67563221013451,0.914100626673693,0.138339920948617,0.138339920948617,0.0855614973262032
"136","Wilton",2019,1996,17,-0.668040035358507,1.56521457559842,-0.571590264406008,1.66166434655092,0.533596837944664,0.486166007905138,0.566820276497696
"137","Winchester",2019,2005,11,-1.39053721632955,-0.0289927567157904,-1.36154445961376,0,0,0,0
"139","Windsor",2019,1996,17,-0.892920475785744,1.2176188306171,-0.907955421346414,1.20258388505643,0.268774703557312,0.268774703557312,0.248847926267281
"140","Woodbridge",2019,1996,14,-0.840326451074797,0.880341996364148,-0.952891919779888,0.767776527659057,0.355731225296443,0.644268774703557,0.812834224598931
