,x,
1,Winneshiek,
2,start year for  Winneshiek ,2000
3,end year for  Winneshiek ,2013
4,stability time for  Winneshiek ,8
5,absolute range min for  Winneshiek ,-0.909717652
6,absolute range max for  Winneshiek ,1.592005892
7,relative range min for  Winneshiek ,-0.84081898
8,relative range max for  Winneshiek ,1.660904564
9,proportion significant for  Winneshiek ,0.162162162
10,proportion significantly wrong for  Winneshiek ,0.162162162
11,number of phases for  Winneshiek ,2
12,Muscatine,
13,start year for  Muscatine ,1991
14,end year for  Muscatine ,2013
15,stability time for  Muscatine , NA
16,absolute range min for  Muscatine , NA
17,absolute range max for  Muscatine , NA
18,relative range min for  Muscatine , NA
19,relative range max for  Muscatine , NA
20,proportion significant for  Muscatine , NA
21,proportion significantly wrong for  Muscatine , NA
22,number of phases for  Muscatine ,2
23,number of phases for  Muscatine ,2
24,Clayton,
25,start year for  Clayton ,2002
26,end year for  Clayton ,2013
27,stability time for  Clayton ,6
28,absolute range min for  Clayton ,-1.369405115
29,absolute range max for  Clayton ,0.751830259
30,relative range min for  Clayton ,-1.426674902
31,relative range max for  Clayton ,0.694560471
32,proportion significant for  Clayton ,0
33,proportion significantly wrong for  Clayton ,0
34,number of phases for  Clayton ,2
