,towns.with.10.years.data,start.year,end.year,stability.time,absolute.range.min.value,absolute.range.max.value,relative.range.min.value,relative.range.max.value,proportion.significant,proportion.wrong,proportion.wrong.before.stability,num.phases
16,Atlantic Highlands,2006,2016,6,-0.713624032,1.189373387,-0.830398874,1.072598545,0,0,0,1
8,Colts Neck,2006,2016,7,-1.341543223,1.073234579,-1.414718308,1.000059494,0.066666667,0.066666667,0.066666667,1
3,Farmingdale,2006,2016,6,-0.738548946,1.107823419,-0.619653756,1.226718609,0.235294118,0.235294118,0.307692308,2
1,Freehold,2005,2016,8,-0.9918156,1.239769499,-1.115792549,1.115792549,0.072727273,0.072727273,0.1,1
10,Hazlet,2006,2016,6,-1.060660172,1.060660172,-1.18692924,0.934391104,0.034482759,0.034482759,0.055555556,2
6,Holmdel,2006,2016,7,-1.126263055,1.055871614,-1.113464611,1.068670058,0.044444444,0.044444444,0.066666667,1
2,Howell,2006,2016,7,-1.208377835,1.40977414,-1.175422075,1.442729899,0,0,0,1
17,Lincroft,2007,2016,6,-1.415962745,1.415962745,-1.410241683,1.421683807,0.138888889,0.138888889,0.238095238,2
4,Manalapan,2006,2016,6,-1.051335088,0.630801053,-0.902236657,0.779899483,0,0,0,2
9,Marlboro,2006,2016,10,-1.220600207,1.569343123,-1.141340453,1.648602877,0,0,0,2
11,Middletown,2006,2016,7,-1.217537778,1.565405714,-1.361428606,1.421514886,0.022222222,0.022222222,0.033333333,2
14,Neptune,2006,2016,8,-0.782702857,1.304504762,-0.887063238,1.200144381,0.066666667,0.066666667,0.085714286,1
12,Ocean,2006,2016,6,-0.941548277,1.345068967,-1.000242196,1.286375049,0.022222222,0.022222222,0.041666667,1
13,Red Bank,2006,2016,6,-0.765248175,1.071347446,-0.879339722,0.957255899,0,0,0,2
15,Shrewsbury,2006,2016,7,-0.738548946,1.107823419,-0.89717834,0.949194025,0,0,0,1
7,Tinton Falls,2006,2016,7,-0.375421018,1.29050975,-0.518336974,1.147593794,0,0,0,2
5,Wall,2006,2016,6,-1.279038325,1.046485902,-1.262125421,1.063398806,0.066666667,0.066666667,0.125,1
