"","counties.with.10.years.data","start.year","end.year","stability.time","absolute.range.min.value","absolute.range.max.value","relative.range.min.value","relative.range.max.value","proportion.significant","proportion.wrong","num.phases"
"1","Albany",2008,2018,6,-0.529129967564442,1.00759855525517,-0.726351137292847,0.810377385526763,0.133333333333333,0.866666666666667,2
"2","Cattaraugus",2008,2018,7,-0.511508171448232,1.30296338267515,-0.759721596168086,1.0547499579553,0.2,0.8,2
"3","Chemung",2008,2018,7,-0.43069793326933,0.886243824227331,-0.648682289355731,0.66825946814093,0.0666666666666667,0.933333333333333,1
"4","Columbia",2008,2018,7,-0.425428867021738,1.246946679201,-0.612737595464226,1.05963795075851,0.0444444444444444,0.955555555555556,2
"5","Dutchess",2008,2018,8,-0.967059383298323,1.07451042588724,-1.12037885513428,0.921190954051278,0.0444444444444444,0.0444444444444444,1
"6","Erie",2008,2018,7,-0.568778302049729,0.442629028832575,-0.804620773037291,0.206786557845013,0.0588235294117647,0.941176470588235,1
"7","Monroe",2008,2018,8,-0.404296089883126,0.749136872430459,-0.651774302478128,0.501658659835457,0.488888888888889,0.511111111111111,1
"8","Ulster",2015,2018,7,-0.77180648191497,1.04063795314334,-0.988606055486424,0.823838379571882,0.311111111111111,0.688888888888889,2
"9","Onondaga",2008,2018,8,-0.645049549024087,1.69722053472756,-0.750410846450347,1.5918592373013,0.0888888888888889,0.0888888888888889,1
"10","Orange",2008,2018,5,-0.395784751627226,1.05542600433858,-0.587680388779584,0.863530367186218,0.111111111111111,0.888888888888889,2
"11","Oswego",2008,2018,7,-1.44020010262011,0.8735639966708,-1.47417373927546,0.839590360015445,0.0888888888888889,0.0888888888888889,1
"12","Rockland",2008,2018,5,-0.524089410000242,0.820199926650032,-0.734678063836586,0.609611272813688,0.133333333333333,0.866666666666667,2
"13","Saratoga",2008,2018,7,-0.495494020153153,1.39824339933618,-0.586200895573431,1.3075365239159,0.0666666666666667,0.0666666666666667,2
"14","Schuyler",2008,2018,8,-0.127603256157992,0.835595516131665,-0.40458838873313,0.558610383556527,0.466666666666667,0.533333333333333,2
"15","Seneca",2008,2018,7,-0.142302410054318,0.805223393477349,-0.391048173980309,0.556477629551358,0.409090909090909,0.590909090909091,2
"16","Sullivan",2008,2018,5,-0.429116908389193,0.442959389304988,-0.650458316519032,0.22161798117515,0.136363636363636,0.863636363636364,2
"17","Westchester",2008,2018,7,-1.31467259227897,1.05173807382298,-1.45331079291926,0.913099873182699,0.0666666666666667,0.0666666666666667,2
