,counties.with.10.years.data,start.year,end.year,stability.time,absolute.range.min.value,absolute.range.max.value,relative.range.min.value,relative.range.max.value,proportion.significant,proportion.wrong,proportion.wrong.before.stability,num.phases
1,Albany,2008,2018,6,-1.312270282,0.401068405,-1.095132325,0.618206362,0.177777778,0.822222222,1,1
2,Allegany,2009,2018,6,-0.855581994,0.954649382,-1.049022669,0.761208707,0.194444444,0.194444444,0.142857143,1
3,Cattaraugus,2008,2018,7,-0.545866016,1.559186354,-0.743211248,1.361841122,0.155555556,0.866666667,0.866666667,1
4,Chautauqua,2008,2018,6,-0.083491184,1.464890771,-0.281753995,1.26662796,0.058823529,0.941176471,1,1
5,Chemung,2008,2018,8,-1.217017571,1.069405117,-1.174161422,1.112261267,0.022222222,0.022222222,0.028571429,1
6,Columbia,2008,2018,8,-0.993610186,0.76158583,-0.790024323,0.965171693,0.177777778,0.822222222,0.857142857,1
7,Dutchess,2008,2018,8,-1.579556521,1.687442168,-1.635284865,1.631713825,0.044444444,0.044444444,0.057142857,1
8,Erie,2008,2018,5,-0.604734491,0.885054125,-0.79258062,0.697207997,0.058823529,0.941176471,1,1
9,Monroe,2008,2018,6,-0.940605689,1.23626391,-1.06814502,1.108724579,0,0,0,1
11,Onondaga,2009,2018,5,-1.125725716,1.28299622,-1.247348239,1.161373697,0.027777778,0.027777778,0.066666667,1
12,Orange,2008,2018,7,-0.914762984,1.038709877,-1.016650186,0.936822674,0.111111111,0.111111111,0.133333333,1
13,Oswego,2008,2018,8,-1.019924431,1.049117259,-0.936260439,1.13278125,0.222222222,0.222222222,0.2,1
14,Rockland,2008,2018,7,-1.542926852,1.647875337,-1.533871488,1.656930701,0,0,0,1
15,Saratoga,2008,2018,7,-1.231418663,0.420561815,-1.03123408,0.620746399,0.2,0.8,0.933333333,1
16,Schuyler,2008,2018,7,-1.672648858,0.118317629,-1.534450767,0.25651572,0.022222222,0.022222222,0.033333333,1
17,Seneca,2008,2018,8,-1.041577266,0.493547382,-0.955619328,0.57950532,0.090909091,0.090909091,0.1,1
18,Sullivan,2008,2018,7,-1.682642169,1.07652913,-1.674394614,1.084776684,0.066666667,0.066666667,0.1,1
19,Westchester,2008,2018,6,-1.681116329,1.516547497,-1.602322767,1.595341059,0.022222222,0.022222222,0.041666667,1
