,counties.with.10.years.data,start.year,end.year,stability.time,absolute.range.min.value,absolute.range.max.value,relative.range.min.value,relative.range.max.value,proportion.significant,proportion.wrong,proportion.wrong.before.stability,num.phases
1,Albany,2008,2018,6,-0.529129968,1.007598555,-0.726351137,0.810377386,0.133333333,0.866666667,1,1
2,Cattaraugus,2008,2018,7,-0.511508171,1.302963383,-0.759721596,1.054749958,0.2,0.8,1,1
3,Chemung,2008,2018,7,-0.430697933,0.886243824,-0.648682289,0.668259468,0.066666667,0.933333333,1,1
4,Columbia,2008,2018,7,-0.425428867,1.246946679,-0.612737595,1.059637951,0.044444444,0.955555556,1,1
5,Dutchess,2008,2018,8,-0.967059383,1.074510426,-1.120378855,0.921190954,0.044444444,0.044444444,0,1
6,Erie,2008,2018,7,-0.568778302,0.442629029,-0.804620773,0.206786558,0.058823529,0.941176471,1,1
7,Monroe,2008,2018,8,-0.40429609,0.749136872,-0.651774302,0.50165866,0.488888889,0.511111111,0.628571429,1
9,Onondaga,2008,2018,8,-0.645049549,1.697220535,-0.750410846,1.591859237,0.088888889,0.088888889,0.114285714,1
10,Orange,2008,2018,5,-0.395784752,1.055426004,-0.587680389,0.863530367,0.111111111,0.888888889,0.941176471,1
11,Oswego,2008,2018,7,-1.440200103,0.873563997,-1.474173739,0.83959036,0.088888889,0.088888889,0.1,1
12,Rockland,2008,2018,5,-0.52408941,0.820199927,-0.734678064,0.609611273,0.133333333,0.866666667,0.882352941,1
13,Saratoga,2008,2018,7,-0.49549402,1.398243399,-0.586200896,1.307536524,0.066666667,0.066666667,0.1,1
14,Schuyler,2008,2018,8,-0.127603256,0.835595516,-0.404588389,0.558610384,0.466666667,0.533333333,0.685714286,1
15,Seneca,2008,2018,7,-0.14230241,0.805223393,-0.391048174,0.55647763,0.409090909,0.590909091,0.722222222,1
16,Sullivan,2008,2018,5,-0.429116908,0.442959389,-0.650458317,0.221617981,0.136363636,0.863636364,0.909090909,1
17,Westchester,2008,2018,7,-1.314672592,1.051738074,-1.453310793,0.913099873,0.066666667,0.066666667,0.1,1
