"","county.with.10.years.data","start.year","end.year","stability.time","absolute.range.min.value","absolute.range.max.value","relative.range.min.value","relative.range.max.value","proportion.significant","proportion.wrong","num.phases"
"1","Centre",1900,2017,7,-1.70856072020352,0.776618509183633,-1.62429272023889,0.860886509148263,0.0454545454545455,0.0454545454545455,3
"2","Elk",1912,2007,7,-1.70856072020352,0.776618509183633,-1.62429272023889,0.860886509148263,0.0454545454545455,0.0454545454545455,3
"3","Dauphin",1913,2006,7,-1.70856072020352,0.776618509183633,-1.62429272023889,0.860886509148263,0.0454545454545455,0.0454545454545455,3
"4","Philadelphia",1913,1995,7,-1.70856072020352,0.776618509183633,-1.62429272023889,0.860886509148263,0.0454545454545455,0.0454545454545455,3
"5","Montgomery",1928,2011,7,-1.70856072020352,0.776618509183633,-1.62429272023889,0.860886509148263,0.0454545454545455,0.0454545454545455,3
"6","Crawford",1932,2013,7,-1.70856072020352,0.776618509183633,-1.62429272023889,0.860886509148263,0.0454545454545455,0.0454545454545455,3
"7","Allegheny",1934,2015,7,-1.70856072020352,0.776618509183633,-1.62429272023889,0.860886509148263,0.0454545454545455,0.0454545454545455,3
"8","Bucks",1935,2013,7,-1.70856072020352,0.776618509183633,-1.62429272023889,0.860886509148263,0.0454545454545455,0.0454545454545455,3
"9","Fayette",1935,2015,7,-1.70856072020352,0.776618509183633,-1.62429272023889,0.860886509148263,0.0454545454545455,0.0454545454545455,3
"10","Chester",1935,2017,7,-1.70856072020352,0.776618509183633,-1.62429272023889,0.860886509148263,0.0454545454545455,0.0454545454545455,3
"11","Clinton",1936,2013,7,-1.70856072020352,0.776618509183633,-1.62429272023889,0.860886509148263,0.0454545454545455,0.0454545454545455,3
"12","Delaware",1945,1993,7,-1.70856072020352,0.776618509183633,-1.62429272023889,0.860886509148263,0.0454545454545455,0.0454545454545455,3
"13","Butler",1946,2013,7,-1.70856072020352,0.776618509183633,-1.62429272023889,0.860886509148263,0.0454545454545455,0.0454545454545455,3
"14","Beaver",1946,2012,7,-1.70856072020352,0.776618509183633,-1.62429272023889,0.860886509148263,0.0454545454545455,0.0454545454545455,3
"15","Mercer",1947,2016,7,-1.70856072020352,0.776618509183633,-1.62429272023889,0.860886509148263,0.0454545454545455,0.0454545454545455,3
"16","Warren",1947,2017,7,-1.70856072020352,0.776618509183633,-1.62429272023889,0.860886509148263,0.0454545454545455,0.0454545454545455,3
"17","Erie",1947,2014,7,-1.70856072020352,0.776618509183633,-1.62429272023889,0.860886509148263,0.0454545454545455,0.0454545454545455,3
"18","Jefferson",1948,2014,7,-1.70856072020352,0.776618509183633,-1.62429272023889,0.860886509148263,0.0454545454545455,0.0454545454545455,3
"19","Indiana",1948,2015,7,-1.70856072020352,0.776618509183633,-1.62429272023889,0.860886509148263,0.0454545454545455,0.0454545454545455,3
"20","Lycoming",1948,2009,7,-1.70856072020352,0.776618509183633,-1.62429272023889,0.860886509148263,0.0454545454545455,0.0454545454545455,3
"21","Union",1949,2012,7,-1.70856072020352,0.776618509183633,-1.62429272023889,0.860886509148263,0.0454545454545455,0.0454545454545455,3
"22","Westmoreland",1949,2017,7,-1.70856072020352,0.776618509183633,-1.62429272023889,0.860886509148263,0.0454545454545455,0.0454545454545455,3
"23","Clearfield",1949,2014,7,-1.70856072020352,0.776618509183633,-1.62429272023889,0.860886509148263,0.0454545454545455,0.0454545454545455,3
"24","Bedford",1949,2013,7,-1.70856072020352,0.776618509183633,-1.62429272023889,0.860886509148263,0.0454545454545455,0.0454545454545455,3
"25","Berks",1950,2008,7,-1.70856072020352,0.776618509183633,-1.62429272023889,0.860886509148263,0.0454545454545455,0.0454545454545455,3
"26","Wayne",1953,2016,7,-1.70856072020352,0.776618509183633,-1.62429272023889,0.860886509148263,0.0454545454545455,0.0454545454545455,3
"27","Forest",1953,2010,7,-1.70856072020352,0.776618509183633,-1.62429272023889,0.860886509148263,0.0454545454545455,0.0454545454545455,3
"28","York",1955,2015,7,-1.70856072020352,0.776618509183633,-1.62429272023889,0.860886509148263,0.0454545454545455,0.0454545454545455,3
"29","Lawrence",1962,2017,7,-1.70856072020352,0.776618509183633,-1.62429272023889,0.860886509148263,0.0454545454545455,0.0454545454545455,3
"30","Cambria",1962,2014,7,-1.70856072020352,0.776618509183633,-1.62429272023889,0.860886509148263,0.0454545454545455,0.0454545454545455,3
"31","Cumberland",1963,2016,7,-1.70856072020352,0.776618509183633,-1.62429272023889,0.860886509148263,0.0454545454545455,0.0454545454545455,3
"32","Pike",1964,2017,7,-1.70856072020352,0.776618509183633,-1.62429272023889,0.860886509148263,0.0454545454545455,0.0454545454545455,3
"33","Susquehanna",1967,2016,7,-1.70856072020352,0.776618509183633,-1.62429272023889,0.860886509148263,0.0454545454545455,0.0454545454545455,3
"34","Snyder",1968,2014,7,-1.70856072020352,0.776618509183633,-1.62429272023889,0.860886509148263,0.0454545454545455,0.0454545454545455,3
"35","Luzerne",1968,2013,7,-1.70856072020352,0.776618509183633,-1.62429272023889,0.860886509148263,0.0454545454545455,0.0454545454545455,3
"36","Northumberland",1980,2012,7,-1.70856072020352,0.776618509183633,-1.62429272023889,0.860886509148263,0.0454545454545455,0.0454545454545455,3
"37","Blair",1989,2016,7,-1.70856072020352,0.776618509183633,-1.62429272023889,0.860886509148263,0.0454545454545455,0.0454545454545455,3
